DiD_Section,Original_DiD_Sentence,NL_Prompt_for_LLM,Key_Entities_in_NL_Prompt,Key_Relationships_in_NL_Prompt,Initial_BFO_CCO_Class_Mapping,Initial_BFO_CCO_Property_Mapping,Target_OWL_Functional_Syntax,Notes_Complexity_Ambiguity
Header,Title: PRODUCT ENGINEERING DESIGN DATA AND ASSOCIATED LISTS,DI-SESS-81000F has the title 'PRODUCT ENGINEERING DESIGN DATA AND ASSOCIATED LISTS'.,DI-SESS-81000F; PRODUCT ENGINEERING DESIGN DATA AND ASSOCIATED LISTS (title string),has title,:DataItemDescription (SubClassOf cco:InformationContentEntity); Title string: literal,dc:title (DataProperty),"Declaration(Class(:DataItemDescription)) SubClassOf(:DataItemDescription cco:InformationContentEntity) Declaration(NamedIndividual(:DI-SESS-81000F)) ClassAssertion(:DataItemDescription :DI-SESS-81000F) Declaration(DataProperty(dc:title)) DataPropertyAssertion(dc:title :DI-SESS-81000F ""PRODUCT ENGINEERING DESIGN DATA AND ASSOCIATED LISTS""^^xsd:string)",Standard metadata using dc:title. Straightforward for a literal value.
Header,Number: DI-SESS-81000F,The number DI-SESS-81000F identifies the data item description.,DI-SESS-81000F (number string); DI-SESS-81000F (data item description),identifies,Number string: literal; :DataItemDescription (SubClassOf cco:InformationContentEntity),dc:identifier (DataProperty),"Declaration(NamedIndividual(:DI-SESS-81000F)) Declaration(DataProperty(dc:identifier)) DataPropertyAssertion(dc:identifier :DI-SESS-81000F ""DI-SESS-81000F""^^xsd:string)",Standard metadata using dc:identifier. Straightforward.
Header,Approval Date: 20190417,The approval process for DI-SESS-81000F concluded on 20190417.,DI-SESS-81000F; Approval Process; 20190417 (date),conclusion date of approval process,:DataItemDescription; :ApprovalProcess (SubClassOf bfo:Process); Date: literal,"bfo:0000224 (has last instant) applied to the approval process's temporal region. Process `bfo:occupies_temporal_region` some :TemporalRegion, which `bfo:0000224` (has last instant) some :TimeInstant.","Declaration(NamedIndividual(:DI-SESS-81000F)) Declaration(Class(:ApprovalProcess)) SubClassOf(:ApprovalProcess bfo:0000015) Declaration(NamedIndividual(:ApprovalProcess_For_81000F)) ClassAssertion(:ApprovalProcess :ApprovalProcess_For_81000F) Declaration(ObjectProperty(:isOutputOf)) ObjectPropertyAssertion(:isOutputOf :DI-SESS-81000F :ApprovalProcess_For_81000F) Declaration(Class(bfo:0000160)) Declaration(NamedIndividual(:TemporalRegion_Approval_81000F)) ClassAssertion(bfo:0000160 :TemporalRegion_Approval_81000F) Declaration(ObjectProperty(bfo:0000199)) ObjectPropertyAssertion(bfo:0000199 :ApprovalProcess_For_81000F :TemporalRegion_Approval_81000F) Declaration(Class(bfo:0000151)) Declaration(NamedIndividual(:Instant_20190417)) ClassAssertion(bfo:0000151 :Instant_20190417) DataPropertyAssertion(dc:date :Instant_20190417 ""2019-04-17""^^xsd:date) Declaration(ObjectProperty(bfo:0000224)) ObjectPropertyAssertion(bfo:0000224 :TemporalRegion_Approval_81000F :Instant_20190417)","Full BFO modeling of dates via processes and temporal regions is very verbose. Simpler alternative for LLM training could be a direct data property like `DataPropertyAssertion(:hasApprovalDate :DI-SESS-81000F ""2019-04-17""^^xsd:date)`. This example shows the BFO-aligned way. `isOutputOf` assumes DID is output of approval; alt: approval process `bfo:0000056` (participates in) some approval record (`bfo:InformationBearingEntity`), which `cco:isAbout` the DID."
Header,Preparing Activity: AR,The organization AR participated in the preparation process that produced DI-SESS-81000F.,AR (organization); Preparation Process; DI-SESS-81000F,participated in; produced,"AR: :Organization (SubClassOf cco:Agent); Preparation Process: :PreparationProcess (SubClassOf bfo:Process, cco:Creating); :DataItemDescription",bfo:0000056 (participates in at some time); cco:hasSpecifiedOutput,"Declaration(NamedIndividual(:DI-SESS-81000F)) Declaration(Class(:Organization)) SubClassOf(:Organization cco:Agent) Declaration(NamedIndividual(:Org_AR)) ClassAssertion(:Organization :Org_AR) DataPropertyAssertion(rdfs:label :Org_AR ""AR""^^xsd:string) Declaration(Class(:PreparationProcess)) SubClassOf(:PreparationProcess bfo:0000015) SubClassOf(:PreparationProcess cco:Creating) Declaration(NamedIndividual(:PrepProcess_81000F_by_AR)) ClassAssertion(:PreparationProcess :PrepProcess_81000F_by_AR) Declaration(ObjectProperty(bfo:0000056)) ObjectPropertyAssertion(bfo:0000056 :Org_AR :PrepProcess_81000F_by_AR) Declaration(ObjectProperty(cco:hasSpecifiedOutput)) ObjectPropertyAssertion(cco:hasSpecifiedOutput :PrepProcess_81000F_by_AR :DI-SESS-81000F)","Models preparation as an explicit process. AR `participates in` it, and the process `hasSpecifiedOutput` the DID. This aligns well with BFO/CCO."
Header,Project Number: SESS-2019-023,DI-SESS-81000F is about the project SESS-2019-023.,DI-SESS-81000F; SESS-2019-023 (project entity/identifier),is about,:DataItemDescription; Project SESS-2019-023: :Project (SubClassOf cco:PlanSpecification or bfo:GenericallyDependentContinuant); Project Number string: literal,cco:isAbout (if Project is an entity); or custom data property :hasProjectIdentifier,"Declaration(NamedIndividual(:DI-SESS-81000F)) Declaration(DataProperty(:hasProjectIdentifier)) DataPropertyAssertion(:hasProjectIdentifier :DI-SESS-81000F ""SESS-2019-023""^^xsd:string)","If 'Project SESS-2019-023' is an entity (e.g., a plan), one could use `cco:isAbout` linking :DI-SESS-81000F to an instance of :Project. For a simple identifier, a data property is often sufficient and simpler for LLM training."
,,,,,,,,
Use/relationship,Product Engineering Design Data and Associated Lists provide engineering data adequate to serve as an authoritative and complete technical description of an item.,Product Engineering Design Data is a type of engineering data.,Product Engineering DesignData; Engineering Data,is a type of,:PEDD_Type (SubClassOf cco:InformationContentEntity); :EngineeringData (SubClassOf cco:InformationContentEntity),rdfs:subClassOf (implicit by making PEDD_Type a subclass of EngineeringData or :PEDD_Type `owl:equivalentClass` some expression involving :EngineeringData),Declaration(Class(:PEDD_Type)) SubClassOf(:PEDD_Type cco:InformationContentEntity) Declaration(Class(:EngineeringData)) SubClassOf(:EngineeringData cco:InformationContentEntity) SubClassOf(:PEDD_Type :EngineeringData),Defining :PEDD_Type as a specific kind of :EngineeringData. Simpler than 'provides' which could imply parthood.
Use/relationship,Product Engineering Design Data and Associated Lists provide engineering data adequate to serve as an authoritative and complete technical description of an item.,Product Engineering Design Data serves as a technical description of an item.,Product Engineering DesignData; Technical Description; Item,serves as; is description of,":PEDD_Type (SubClassOf cco:InformationContentEntity); :TechnicalDescription (SubClassOf cco:Description, cco:InformationContentEntity); :Item (SubClassOf cco:Object, bfo:MaterialEntity or bfo:SpecificallyDependentContinuant if item is a design)",cco:describes; :hasQuality (custom for authoritative/complete) or model qualities explicitly as inhering SDCs.,Declaration(Class(:PEDD_Type)) Declaration(Class(:Item)) SubClassOf(:Item cco:Object) Declaration(Class(:TechnicalDescription)) SubClassOf(:TechnicalDescription cco:Description) SubClassOf(:TechnicalDescription cco:InformationContentEntity) Declaration(ObjectProperty(cco:describes)) ObjectPropertyDomain(cco:describes cco:InformationContentEntity) ObjectPropertyRange(cco:describes cco:Object) SubClassOf(:PEDD_Type ObjectSomeValuesFrom(cco:describes :Item)) SubClassOf(:PEDD_Type :TechnicalDescription),PEDD is a technical description and describes an item. 'Authoritative' and 'complete' are qualities of this description aspect.
Use/relationship,Product Engineering Design Data and Associated Lists provide engineering data adequate to serve as an authoritative and complete technical description of an item.,The technical description provided by Product Engineering Design Data is authoritative.,Technical Description provided by PEDD; Authoritative (quality),is (has quality),":TechnicalDescription (aspect of PEDD); :AuthoritativeQuality (SubClassOf bfo:Quality, cco:Quality)","bfo:0000196 (bearer_of) / bfo:0000197 (inheres_in) for the quality. Or simpler custom :hasQuality property.""",Declaration(Class(:PEDD_Type)) Declaration(Class(:AuthoritativeQuality)) SubClassOf(:AuthoritativeQuality bfo:0000019) Declaration(ObjectProperty(bfo:0000196)) ObjectPropertyDomain(bfo:0000196 bfo:0000001) ObjectPropertyRange(bfo:0000196 bfo:0000019) SubClassOf(:PEDD_Type ObjectSomeValuesFrom(bfo:0000196 :AuthoritativeQuality)),"Models 'authoritative' as a BFO Quality inhering in (or borne by) the PEDD (as a description). Requires PEDD to be a `bfo:Continuant` to bear a quality. ICEs are GDCs/SDCs, so this fits."
Use/relationship,Product Engineering Design Data and Associated Lists provide engineering data adequate to serve as an authoritative and complete technical description of an item.,The technical description provided by Product Engineering Design Data is complete.,Technical Description provided by PEDD; Complete (quality),is (has quality),":TechnicalDescription (aspect of PEDD); :CompleteQuality (SubClassOf bfo:Quality, cco:Quality)","bfo:0000196 (bearer_of) / bfo:0000197 (inheres_in) for the quality.""",Declaration(Class(:PEDD_Type)) Declaration(Class(:CompleteQuality)) SubClassOf(:CompleteQuality bfo:0000019) Declaration(ObjectProperty(bfo:0000196)) SubClassOf(:PEDD_Type ObjectSomeValuesFrom(bfo:0000196 :CompleteQuality)),Models 'complete' as a BFO Quality inhering in (or borne by) the PEDD (as a description).
